"","Simulation","PosteriorProbs","Model"
"270","exp_n124.posterior_probs",0.0715651303302541,"weibull"
"271","exp_n125.posterior_probs",0.0652762926351473,"gamma"
"272","exp_n125.posterior_probs",0.0746164629505558,"hill"
"273","exp_n125.posterior_probs",0.220682163607705,"log-logistic"
"274","exp_n125.posterior_probs",0.170934208426425,"log-probit"
"275","exp_n125.posterior_probs",0.107289061673816,"logistic"
"276","exp_n125.posterior_probs",0.00588176627159084,"multistage"
"277","exp_n125.posterior_probs",0.204677000911841,"probit"
"278","exp_n125.posterior_probs",0.0730458247817369,"qlinear"
"279","exp_n125.posterior_probs",0.077597218741182,"weibull"
"280","exp_n126.posterior_probs",0.0611971466772172,"gamma"
"281","exp_n126.posterior_probs",0.0373314694350844,"hill"
"282","exp_n126.posterior_probs",0.207652744175043,"log-logistic"
"283","exp_n126.posterior_probs",0.191149796414364,"log-probit"
"284","exp_n126.posterior_probs",0.198642008450203,"logistic"
"285","exp_n126.posterior_probs",0.00209835900047427,"multistage"
"286","exp_n126.posterior_probs",0.204756023233623,"probit"
"287","exp_n126.posterior_probs",0.00411523281053742,"qlinear"
"288","exp_n126.posterior_probs",0.0930572198034548,"weibull"
"289","exp_n127.posterior_probs",0.146189914001469,"gamma"
"290","exp_n127.posterior_probs",0.0673254725185402,"hill"
"291","exp_n127.posterior_probs",0.202682925550865,"log-logistic"
"292","exp_n127.posterior_probs",0.112269231757968,"log-probit"
"293","exp_n127.posterior_probs",0.0431529575807026,"logistic"
"294","exp_n127.posterior_probs",0.00394353104086028,"multistage"
"295","exp_n127.posterior_probs",0.178267726605373,"probit"
"296","exp_n127.posterior_probs",0.185012368376019,"qlinear"
"297","exp_n127.posterior_probs",0.061155872568202,"weibull"
"298","exp_n128.posterior_probs",0.0713384074401667,"gamma"
"299","exp_n128.posterior_probs",0.0313365135587555,"hill"
"300","exp_n128.posterior_probs",0.0804070313705299,"log-logistic"
"301","exp_n128.posterior_probs",0.272176211179163,"log-probit"
"302","exp_n128.posterior_probs",0.361814526585523,"logistic"
"303","exp_n128.posterior_probs",0.000699333087106038,"multistage"
"304","exp_n128.posterior_probs",0.0495416810744893,"probit"
"305","exp_n128.posterior_probs",0.00168822190173919,"qlinear"
"306","exp_n128.posterior_probs",0.130998073802527,"weibull"
"307","exp_n129.posterior_probs",0.0857015417804673,"gamma"
"308","exp_n129.posterior_probs",0.0878202471871379,"hill"
"309","exp_n129.posterior_probs",0.088515510925073,"log-logistic"
"310","exp_n129.posterior_probs",0.159207084056258,"log-probit"
"311","exp_n129.posterior_probs",0.0598409524748513,"logistic"
"312","exp_n129.posterior_probs",0.0121376957470133,"multistage"
"313","exp_n129.posterior_probs",0.154536981825172,"probit"
"314","exp_n129.posterior_probs",0.276779206120435,"qlinear"
"315","exp_n129.posterior_probs",0.0754607798835922,"weibull"
"316","exp_n13.posterior_probs",0.0790396883510356,"gamma"
"317","exp_n13.posterior_probs",0.0404207188897985,"hill"
"318","exp_n13.posterior_probs",0.138480368665055,"log-logistic"
"319","exp_n13.posterior_probs",0.241793950194352,"log-probit"
"320","exp_n13.posterior_probs",0.295516173105078,"logistic"
"321","exp_n13.posterior_probs",0.00144191927040293,"multistage"
"322","exp_n13.posterior_probs",0.102208586663239,"probit"
"323","exp_n13.posterior_probs",0.00421387293208237,"qlinear"
"324","exp_n13.posterior_probs",0.0968847219289563,"weibull"
"325","exp_n130.posterior_probs",0.0696770054231844,"gamma"
"326","exp_n130.posterior_probs",0.0832748771445931,"hill"
"327","exp_n130.posterior_probs",0.145755561804064,"log-logistic"
"328","exp_n130.posterior_probs",0.15898795189275,"log-probit"
"329","exp_n130.posterior_probs",0.0930589502268566,"logistic"
"330","exp_n130.posterior_probs",0.0151955457667336,"multistage"
"331","exp_n130.posterior_probs",0.225264170486204,"probit"
"332","exp_n130.posterior_probs",0.133380788284796,"qlinear"
"333","exp_n130.posterior_probs",0.0754051489708182,"weibull"
"334","exp_n131.posterior_probs",0.0861925665625516,"gamma"
"335","exp_n131.posterior_probs",0.0737513142067426,"hill"
"336","exp_n131.posterior_probs",0.101922735927523,"log-logistic"
"337","exp_n131.posterior_probs",0.13094554128371,"log-probit"
"338","exp_n131.posterior_probs",0.0371191261287427,"logistic"
"339","exp_n131.posterior_probs",0.0079540428465126,"multistage"
"340","exp_n131.posterior_probs",0.135989807889739,"probit"
"341","exp_n131.posterior_probs",0.35483652273143,"qlinear"
"342","exp_n131.posterior_probs",0.0712883424230488,"weibull"
