"","set","Dose","N","Effect"
"445","exp_n111",0.709643809329931,3,3
"446","exp_n111",0.728629492174682,30,8
"447","exp_n111",0.766541573474353,30,20
"448","exp_n111",0.767100943232745,30,12
"449","exp_n111",0.776332709632465,30,4
"450","exp_n111",0.793151207936898,30,12
"451","exp_n111",0.79965692978206,30,28
"452","exp_n111",0.859364812319018,30,30
"453","exp_n111",0.870874506773622,5,0
"454","exp_n111",0.89568871302483,30,4
"455","exp_n111",0.897245316651733,30,3
"456","exp_n111",0.899406278622558,30,17
"457","exp_n111",0.902556299329872,17,2
"458","exp_n111",0.910103793901955,30,24
"459","exp_n111",0.915074148914366,30,2
"460","exp_n111",0.93085364807827,30,29
"461","exp_n111",0.935131356687708,30,16
"462","exp_n111",0.936123916719377,30,12
"463","exp_n111",0.955431945613643,36,1
"464","exp_n111",0.987985138456986,30,30
"465","exp_n112",0,262,13
"466","exp_n112",0.577628164509751,30,0
"467","exp_n112",0.592480647592363,30,5
"468","exp_n112",0.648382269676731,30,0
"469","exp_n112",0.671715230721111,30,10
"470","exp_n112",0.698031281466478,30,27
"471","exp_n112",0.699277521829803,30,5
"472","exp_n112",0.739844052534941,30,8
"473","exp_n112",0.754306329651483,30,7
"474","exp_n112",0.755523950008527,30,29
"475","exp_n112",0.775139201498233,3,3
"476","exp_n112",0.776813584030824,5,0
"477","exp_n112",0.7801221791585,30,6
"478","exp_n112",0.783664618081269,30,13
"479","exp_n112",0.822236825829068,30,20
"480","exp_n112",0.839816844436725,30,3
"481","exp_n112",0.85024029047829,30,21
"482","exp_n112",0.856228353322284,30,27
"483","exp_n112",0.868130126161466,17,1
"484","exp_n112",0.899401933012505,30,1
"485","exp_n112",0.912548469577243,36,2
"486","exp_n112",0.921480543206288,30,0
"487","exp_n112",0.956815375028432,30,15
"488","exp_n112",0.964674554903296,30,30
"489","exp_n112",0.967690511349192,30,16
"490","exp_n112",0.986815862468565,30,21
"491","exp_n112",0.990502097072722,30,26
"492","exp_n112",0.990811997372233,30,11
"493","exp_n112",1.11764284406025,30,29
"494","exp_n113",0,262,12
"495","exp_n113",0.651178500255354,30,3
"496","exp_n113",0.679024026455598,30,1
"497","exp_n113",0.703407235493568,30,19
"498","exp_n113",0.704235786576528,30,28
"499","exp_n113",0.715894795857098,30,1
"500","exp_n113",0.720779095011883,30,3
"501","exp_n113",0.736801593905665,30,18
"502","exp_n113",0.745166373080765,3,3
"503","exp_n113",0.751867598343164,30,10
"504","exp_n113",0.759299484327695,30,13
"505","exp_n113",0.759572750072043,30,9
"506","exp_n113",0.786353260271765,30,6
"507","exp_n113",0.790258867298214,30,1
"508","exp_n113",0.804715401044578,30,18
"509","exp_n113",0.852209839241868,30,25
"510","exp_n113",0.863688790126524,5,0
"511","exp_n113",0.904481612666275,36,0
"512","exp_n113",0.908849917921512,30,30
"513","exp_n113",0.912899539887054,30,1
"514","exp_n113",0.921615615139844,17,7
"515","exp_n113",0.929416686230013,30,16
"516","exp_n113",0.930586183735663,30,17
"517","exp_n113",0.93102823011396,30,1
"518","exp_n113",0.939822803447969,30,1
"519","exp_n113",0.946460752721769,30,21
"520","exp_n113",0.951046004243757,30,20
"521","exp_n113",0.969632573276196,30,29
"522","exp_n113",1.00514291634399,30,30
"523","exp_n114",0,262,20
"524","exp_n114",0.62498714769059,30,2
"525","exp_n114",0.677886174971894,30,2
"526","exp_n114",0.689160445435785,30,22
"527","exp_n114",0.696131272556349,30,5
"528","exp_n114",0.715764626067739,30,29
"529","exp_n114",0.72166757538642,30,2
"530","exp_n114",0.733713050091982,3,3
"531","exp_n114",0.754660824740987,30,3
"532","exp_n114",0.761693916419484,30,5
"533","exp_n114",0.76759690463994,30,15
"534","exp_n114",0.778063529088557,30,7
"535","exp_n114",0.795740530388069,30,30
"536","exp_n114",0.800500898482031,30,14
"537","exp_n114",0.800744131970392,30,12
"538","exp_n114",0.801262685775736,30,23
"539","exp_n114",0.845084013685009,30,23
"540","exp_n114",0.859877621507462,5,0
"541","exp_n114",0.905084652011919,30,3
"542","exp_n114",0.915168023951579,17,2
"543","exp_n114",0.930786915543213,30,2
"544","exp_n114",0.935220202790716,30,3
"545","exp_n114",0.95352125859305,36,5
"546","exp_n114",0.955131814792021,30,16
"547","exp_n114",0.957434835655792,30,18
"548","exp_n114",0.966028863556452,30,20
"549","exp_n114",0.977287367883924,30,10
"550","exp_n114",0.994292540279667,30,28
"551","exp_n114",0.99497996072602,30,28
"552","exp_n115",0,262,11
"553","exp_n115",0.589760760757821,30,3
"554","exp_n115",0.635038201184401,30,2
"555","exp_n115",0.688004741825826,30,21
"556","exp_n115",0.710458069117844,30,5
"557","exp_n115",0.71172970260289,30,30
"558","exp_n115",0.71495789965347,30,0
"559","exp_n115",0.735212231502783,30,30
"560","exp_n115",0.741090708854079,30,4
"561","exp_n115",0.745920654093976,30,6
"562","exp_n115",0.746677082683728,3,3
"563","exp_n115",0.746904179655061,30,4
"564","exp_n115",0.769823852132347,30,7
"565","exp_n115",0.77406240975424,30,18
"566","exp_n115",0.783704846299234,30,18
"567","exp_n115",0.790884865069936,30,12
"568","exp_n115",0.835728704853341,30,25
"569","exp_n115",0.851458133332452,5,0
"570","exp_n115",0.910574646528099,17,1
"571","exp_n115",0.916699423633487,30,2
"572","exp_n115",0.93083760744035,36,5
"573","exp_n115",0.94035897795605,30,1
"574","exp_n115",0.942442667183921,30,3
"575","exp_n115",0.944191052758463,30,16
"576","exp_n115",0.945719849932649,30,17
"577","exp_n115",0.94852478397686,30,20
"578","exp_n115",0.971981857960495,30,30
"579","exp_n115",1.00217652210352,30,26
"580","exp_n115",1.02344229530463,30,22
"581","exp_n116",0,262,12
"582","exp_n116",0.59838475142782,30,3
"583","exp_n116",0.63515322927145,30,2
"584","exp_n116",0.705243571938805,30,22
"585","exp_n116",0.733452239304824,30,9
"586","exp_n116",0.742346221662462,30,4
"587","exp_n116",0.754784424667048,30,29
"588","exp_n116",0.756427342491735,30,1
"589","exp_n116",0.764579673186472,30,3
"590","exp_n116",0.772374228411224,3,3
"591","exp_n116",0.785318545330876,30,6
"592","exp_n116",0.808136566203832,30,20
"593","exp_n116",0.83661929569536,30,21
"594","exp_n116",0.840660668488077,30,16
"595","exp_n116",0.848247062249975,30,27
"596","exp_n116",0.85006605716558,30,5
"597","exp_n116",0.873822634051407,5,0
"598","exp_n116",0.917484077017361,30,30
"599","exp_n116",0.924500115637658,30,0
"600","exp_n116",0.93149362711827,30,1
"601","exp_n116",0.935213113389815,30,27
"602","exp_n116",0.940610032083918,30,1
"603","exp_n116",0.959423140561102,36,3
"604","exp_n116",0.963520945249904,17,3
"605","exp_n116",0.970370603434205,30,15
"606","exp_n116",0.977783767828561,30,21
"607","exp_n116",0.981202943866179,30,18
"608","exp_n116",1.00569688807878,30,24
"609","exp_n116",1.01253239882064,30,28
"610","exp_n117",0,262,11
"611","exp_n117",0.582398693166428,30,1
"612","exp_n117",0.646141528427947,30,7
"613","exp_n117",0.690157714055923,30,24
"614","exp_n117",0.69908912629609,30,9
"615","exp_n117",0.736881265915392,30,28
"616","exp_n117",0.737159146110734,30,7
"617","exp_n117",0.740640966250214,30,1
"618","exp_n117",0.775542200809725,30,6
"619","exp_n117",0.779230155559786,3,3
"620","exp_n117",0.779896867405281,30,24
"621","exp_n117",0.798097916603058,30,18
"622","exp_n117",0.802024535386086,30,16
"623","exp_n117",0.80298891920996,30,18
"624","exp_n117",0.803446744700235,30,2
"625","exp_n117",0.808242359346195,30,30
"626","exp_n117",0.849939717717008,30,13
"627","exp_n117",0.89585907609837,36,1
"628","exp_n117",0.900442538085575,17,3
"629","exp_n117",0.900829178553246,5,0
"630","exp_n117",0.936847809727121,30,3
"631","exp_n117",0.943056709910097,30,0
"632","exp_n117",0.943144965454724,30,16
"633","exp_n117",0.946946883261618,30,3
"634","exp_n117",0.94886960596056,30,18
"635","exp_n117",0.951793219957403,30,24
"636","exp_n117",0.99080292299725,30,16
"637","exp_n117",0.997728719369949,30,27
"638","exp_n117",1.00104135240594,30,29
"639","exp_n118",0,262,14
"640","exp_n118",0.643746777342736,30,2
"641","exp_n118",0.661101800504317,30,2
"642","exp_n118",0.691457500238431,30,26
"643","exp_n118",0.734231968873491,30,30
"644","exp_n118",0.735428478895225,30,4
"645","exp_n118",0.743417875382801,30,4
"646","exp_n118",0.757990926999314,30,10
"647","exp_n118",0.762739364987205,30,0
"648","exp_n118",0.775916180729626,30,8
"649","exp_n118",0.781618623599745,3,3
"650","exp_n118",0.79555641387952,30,25
"651","exp_n118",0.800223400901517,30,18
"652","exp_n118",0.805323571779648,30,19
"653","exp_n118",0.823627547634324,30,18
"654","exp_n118",0.841582018955581,5,0
"655","exp_n118",0.841953843153655,30,3
"656","exp_n118",0.873758355682084,30,30
"657","exp_n118",0.906695704264732,30,1
"658","exp_n118",0.90934529088825,30,3
"659","exp_n118",0.919370510633938,17,0
"660","exp_n118",0.945804323892235,30,15
"661","exp_n118",0.954565022866305,30,2
"662","exp_n118",0.954718220711087,30,20
"663","exp_n118",0.964895265237926,30,27
"664","exp_n118",0.972222622466335,36,0
"665","exp_n118",0.979260673223748,30,18
"666","exp_n118",0.999548965547853,30,30
"667","exp_n118",1.00186927082107,30,20
"668","exp_n119",0,262,13
"669","exp_n119",0.603174312343016,30,6
