"Dataset Index","Dose","N","Effect"
"exp_n825",0.899182968706476,30,3
"exp_n825",0.915001216692943,36,5
"exp_n825",0.928698974172002,30,30
"exp_n825",0.937023412135808,30,28
"exp_n825",0.942692758042061,30,16
"exp_n825",0.94470972426386,2,1
"exp_n825",0.995697866304756,30,30
"exp_n825",1.00123012350806,30,20
"exp_n825",1.00153682449599,30,17
"exp_n825",1.00340912782138,30,20
"exp_n825",1.01377843522989,30,20
"exp_n825",1.04503706166068,30,29
"exp_n825",1.08018062485085,4,1
"exp_n826",0,30,0
"exp_n826",0.686990039815228,30,25
"exp_n826",0.690321998506386,2,0
"exp_n826",0.708220171885954,3,0
"exp_n826",0.710541634125837,30,21
"exp_n826",0.716473747209361,30,5
"exp_n826",0.741781191955633,2,0
"exp_n826",0.746367227402597,71,0
"exp_n826",0.7476569563038,3,3
"exp_n826",0.747734216885945,30,1
"exp_n826",0.752322138177576,30,11
"exp_n826",0.76300699124947,30,9
"exp_n826",0.77360892105668,30,17
"exp_n826",0.793353542287767,30,30
"exp_n826",0.799683938537117,4,0
"exp_n826",0.802258420460638,4,0
"exp_n826",0.804352531600194,30,27
"exp_n826",0.830153685443187,30,2
"exp_n826",0.830567980052328,1,0
"exp_n826",0.832266396037709,30,5
"exp_n826",0.870966856753865,5,0
"exp_n826",0.871936880872242,30,28
"exp_n826",0.876874551474676,30,2
"exp_n826",0.892314024422491,30,1
"exp_n826",0.912179824828932,30,3
"exp_n826",0.913237022252312,17,3
"exp_n826",0.915215731360714,30,2
"exp_n826",0.918599537378592,73,0
"exp_n826",0.928254940797194,30,2
"exp_n826",0.928635542793223,36,2
"exp_n826",0.933743781652119,30,16
"exp_n826",0.933998542341953,2,1
"exp_n826",0.94740914908523,30,26
"exp_n826",0.96509319174731,30,20
"exp_n826",0.971052360876181,30,17
"exp_n826",0.976717882016114,30,30
"exp_n826",0.979628332091252,30,11
"exp_n826",0.981918082527732,30,17
"exp_n826",1.02266735758919,4,1
"exp_n827",0,30,0
"exp_n827",0.67040732959693,30,4
"exp_n827",0.695275941603593,2,0
"exp_n827",0.698913434663197,30,25
"exp_n827",0.715106760353211,30,1
"exp_n827",0.743132613919166,71,0
"exp_n827",0.746885658675765,2,0
"exp_n827",0.748821758401008,30,3
"exp_n827",0.751925009578777,3,0
"exp_n827",0.757201513443251,30,23
"exp_n827",0.761637158486541,3,3
"exp_n827",0.763262182414518,30,9
"exp_n827",0.804222228377689,30,18
"exp_n827",0.804674623024697,5,0
"exp_n827",0.806385427038874,30,2
"exp_n827",0.828103160635243,1,0
"exp_n827",0.830942221193685,30,1
"exp_n827",0.833822911428295,30,4
"exp_n827",0.834134893007034,30,1
"exp_n827",0.836677346972898,30,24
"exp_n827",0.860224701264404,4,0
"exp_n827",0.877746939978133,4,0
"exp_n827",0.88293757239925,30,1
"exp_n827",0.884381984137586,30,30
"exp_n827",0.894283027228303,73,0
"exp_n827",0.896224968610333,30,2
"exp_n827",0.90091877016297,17,1
"exp_n827",0.905425285380912,30,1
"exp_n827",0.921401451212112,36,3
"exp_n827",0.936137335647929,30,28
"exp_n827",0.941811729790661,30,16
"exp_n827",0.953754023962851,2,1
"exp_n827",0.995656402101458,30,11
"exp_n827",0.995912619158786,30,26
"exp_n827",0.99954542507543,30,18
"exp_n827",1.00770875567889,30,11
"exp_n827",1.00991726366922,30,18
"exp_n827",1.05029067321229,30,30
"exp_n827",1.1010149302396,4,3
"exp_n828",0,30,0
"exp_n828",0.679493435520573,2,0
"exp_n828",0.683572268393811,30,17
"exp_n828",0.701792455303766,30,10
"exp_n828",0.704230579192002,30,21
"exp_n828",0.71110749104416,3,0
"exp_n828",0.734229916181616,2,0
"exp_n828",0.734440196356506,30,6
"exp_n828",0.736417664286756,71,0
"exp_n828",0.737628589045946,30,14
"exp_n828",0.745674199069481,3,3
"exp_n828",0.749086310920383,30,8
"exp_n828",0.766608929580368,30,16
"exp_n828",0.779930429130439,30,30
"exp_n828",0.788462129700286,30,23
"exp_n828",0.797923776320552,4,0
"exp_n828",0.808938982778916,4,0
"exp_n828",0.818748749125761,1,0
