"","set","Dose","N","Effect"
"261","exp_n104",0.00019394098121064,9,1
"262","exp_n104",0.000195924319881133,10,10
"263","exp_n104",0.000222081845093638,10,2
"264","exp_n104",0.000223217012391721,9,1
"265","exp_n104",0.000227954925468465,5,0
"266","exp_n104",0.000233499178235745,5,4
"267","exp_n104",0.000235014633597776,5,1
"268","exp_n104",0.000242984965692353,10,9
"269","exp_n104",0.00025078188505834,5,5
"270","exp_n104",0.000256846932461854,10,0
"271","exp_n104",0.000275524831479832,9,1
"272","exp_n104",0.000276395037315229,9,2
"273","exp_n105",0,282,5
"274","exp_n105",7.66601257058952e-05,10,7
"275","exp_n105",8.04685654598718e-05,9,9
"276","exp_n105",8.29496302770253e-05,5,5
"277","exp_n105",0.000121474730286885,5,0
"278","exp_n105",0.000122088501014482,10,1
"279","exp_n105",0.00012419234279103,5,1
"280","exp_n105",0.000126292474984014,9,0
"281","exp_n105",0.000126920508394753,9,3
"282","exp_n105",0.000135913241752264,10,10
"283","exp_n105",0.000137555622741824,5,0
"284","exp_n105",0.000142042125732032,9,0
"285","exp_n105",0.000142670418730295,10,5
"286","exp_n105",0.000143849644380876,9,0
"287","exp_n105",0.000144306012963875,10,6
"288","exp_n105",0.000144506048427315,5,5
"289","exp_n105",0.000144849569826219,5,3
"290","exp_n105",0.000149347149853242,9,6
"291","exp_n105",0.000150458072691663,5,3
"292","exp_n105",0.000167978407469785,10,1
"293","exp_n105",0.000168226729327152,5,0
"294","exp_n105",0.000171142920605262,5,0
"295","exp_n105",0.000176938341037489,9,0
"296","exp_n105",0.000184804311204545,10,10
"297","exp_n105",0.000211357531000533,10,0
"298","exp_n105",0.000215770966494947,10,10
"299","exp_n105",0.000215991577148338,5,0
"300","exp_n105",0.000227505117193004,9,0
"301","exp_n105",0.000229315532688559,10,3
"302","exp_n105",0.000230055223187138,9,3
"303","exp_n105",0.00023293296621124,5,5
"304","exp_n105",0.000234589644080981,5,2
"305","exp_n105",0.000237328029059278,9,7
"306","exp_n105",0.00026646739145209,5,2
"307","exp_n106",0,282,11
"308","exp_n106",8.5884445647447e-05,10,7
"309","exp_n106",8.83168296929566e-05,5,5
"310","exp_n106",9.12688361601422e-05,9,8
"311","exp_n106",0.000126403529053926,9,0
"312","exp_n106",0.00012662192771444,10,3
"313","exp_n106",0.000130151148585733,5,0
"314","exp_n106",0.000131858082574561,5,2
"315","exp_n106",0.000140233996288495,9,8
"316","exp_n106",0.000147242093447378,5,0
"317","exp_n106",0.000148567236839578,10,7
"318","exp_n106",0.000148670654804179,9,3
"319","exp_n106",0.000148850333191791,10,6
"320","exp_n106",0.000149091279570702,9,0
"321","exp_n106",0.000154933047985338,5,4
"322","exp_n106",0.000155137409722302,5,4
"323","exp_n106",0.00016218101361951,9,4
"324","exp_n106",0.000163931148693202,10,5
"325","exp_n106",0.000170577643385027,5,3
"326","exp_n106",0.000173114025958034,5,0
"327","exp_n106",0.00017784993514261,10,1
"328","exp_n106",0.000190869659241047,5,0
"329","exp_n106",0.000194688204011857,9,3
"330","exp_n106",0.000208134875821071,10,10
"331","exp_n106",0.000226243052479593,10,1
"332","exp_n106",0.000232890150326335,9,0
"333","exp_n106",0.000240253166943866,5,0
"334","exp_n106",0.000243058103734874,9,1
"335","exp_n106",0.000245277526006674,5,1
"336","exp_n106",0.000249788761333976,10,2
"337","exp_n106",0.000251006538395396,10,10
"338","exp_n106",0.000251586222986514,5,5
"339","exp_n106",0.000278038215263076,5,2
"340","exp_n106",0.000279580513810748,9,5
"341","exp_n107",0,282,8
"342","exp_n107",8.0815678441237e-05,10,4
"343","exp_n107",8.31282271939688e-05,5,5
"344","exp_n107",8.45070034808167e-05,9,8
"345","exp_n107",0.000123387985078984,5,0
"346","exp_n107",0.000124869315892154,5,2
"347","exp_n107",0.000125717983416763,10,2
"348","exp_n107",0.000129264107160068,9,0
"349","exp_n107",0.000130659692474373,9,6
"350","exp_n107",0.00013949634640311,10,7
"351","exp_n107",0.000144465031139116,5,0
"352","exp_n107",0.00014547080456326,9,3
"353","exp_n107",0.000145916942955159,10,4
"354","exp_n107",0.000147198793641113,5,5
"355","exp_n107",0.000148786147126856,5,5
"356","exp_n107",0.000148861340766768,9,0
"357","exp_n107",0.000153930614403874,9,5
"358","exp_n107",0.000154711097760407,10,4
"359","exp_n107",0.000158918418780343,5,4
"360","exp_n107",0.000169554443005826,5,0
"361","exp_n107",0.000170882906904586,10,3
"362","exp_n107",0.000182634998835772,5,0
"363","exp_n107",0.000187053372602061,10,10
"364","exp_n107",0.000188481277087474,9,2
"365","exp_n107",0.000213067887579749,10,0
"366","exp_n107",0.000218778880762052,5,0
"367","exp_n107",0.000224444855866781,9,0
"368","exp_n107",0.000233368752821489,10,9
"369","exp_n107",0.000234207682304793,5,5
"370","exp_n107",0.000235857028888755,9,3
"371","exp_n107",0.000259972578077036,10,3
"372","exp_n107",0.000267607167565151,9,8
"373","exp_n107",0.000275651457652644,5,1
"374","exp_n107",0.000277884916360939,5,3
"375","exp_n108",0,282,12
"376","exp_n108",8.3594794034584e-05,10,5
"377","exp_n108",8.90741265783611e-05,5,5
"378","exp_n108",9.06622709133422e-05,9,9
"379","exp_n108",0.000125492949552323,5,0
"380","exp_n108",0.000125555257079732,10,2
"381","exp_n108",0.00012745279504744,9,0
"382","exp_n108",0.000130127548709344,5,1
"383","exp_n108",0.000137778689117794,9,5
"384","exp_n108",0.000145226373272662,10,9
"385","exp_n108",0.000145526419080143,5,0
"386","exp_n108",0.000149836105428593,10,9
"387","exp_n108",0.000150710094738175,9,0
"388","exp_n108",0.000152394505168842,9,3
"389","exp_n108",0.000154077833403798,5,5
"390","exp_n108",0.000158772644013801,5,3
"391","exp_n108",0.000161235625977333,9,5
"392","exp_n108",0.000165797265177488,10,7
"393","exp_n108",0.000166500580641708,5,4
"394","exp_n108",0.000168888793383494,5,0
"395","exp_n108",0.000181188952894417,10,2
"396","exp_n108",0.000185142542815841,5,0
"397","exp_n108",0.000190791283861861,9,3
"398","exp_n108",0.000195652361102754,10,10
"399","exp_n108",0.000223166592325843,5,0
"400","exp_n108",0.000224062250131376,10,0
"401","exp_n108",0.000234950195612535,9,0
"402","exp_n108",0.000240656030393105,10,10
"403","exp_n108",0.000258916001832017,5,5
"404","exp_n108",0.000262113322584015,10,2
"405","exp_n108",0.000264053728678573,5,1
"406","exp_n108",0.000274161342951081,9,1
"407","exp_n108",0.000277743254410973,5,1
"408","exp_n108",0.000303563346273496,9,8
"409","exp_n109",0,282,11
"410","exp_n109",8.00705527649876e-05,10,5
"411","exp_n109",8.58332380911619e-05,5,5
"412","exp_n109",8.73451467933302e-05,9,9
"413","exp_n109",0.000122994589864914,9,0
"414","exp_n109",0.000125769519521703,5,0
"415","exp_n109",0.0001277539524315,10,5
"416","exp_n109",0.000130069410994729,5,2
"417","exp_n109",0.000134015107554595,9,3
"418","exp_n109",0.000139982279982597,10,10
"419","exp_n109",0.000144451557659307,5,0
"420","exp_n109",0.000145952060016917,9,0
"421","exp_n109",0.000146690159320548,10,6
"422","exp_n109",0.000148711584725692,9,1
"423","exp_n109",0.000150283755893923,5,4
"424","exp_n109",0.000151423017391657,5,3
"425","exp_n109",0.000154263484841641,9,6
"426","exp_n109",0.000155950019992999,10,7
"427","exp_n109",0.000157925801628242,5,3
"428","exp_n109",0.000170884409600967,5,0
"429","exp_n109",0.000175587467731851,10,2
"430","exp_n109",0.000183143899088814,5,0
"431","exp_n109",0.000183870638533211,9,3
"432","exp_n109",0.000186930420500363,10,10
"433","exp_n109",0.00021339385076018,5,0
"434","exp_n109",0.000213946571611434,10,0
"435","exp_n109",0.000226521631986405,9,0
"436","exp_n109",0.000229904434522631,10,10
"437","exp_n109",0.000235313621649629,9,0
"438","exp_n109",0.000238653889050753,5,1
"439","exp_n109",0.000239375741375223,9,6
"440","exp_n109",0.000245628327757096,5,5
"441","exp_n109",0.000252205460485124,5,1
"442","exp_n109",0.000267858811392388,10,3
"443","exp_n11",0,282,11
"444","exp_n11",8.4180525275166e-05,10,6
"445","exp_n11",8.76003015445606e-05,5,5
"446","exp_n11",9.33408136070295e-05,9,9
"447","exp_n11",0.000125550565125551,5,0
"448","exp_n11",0.000127035154522299,10,3
"449","exp_n11",0.000127644628749848,9,0
"450","exp_n11",0.000135267415194877,5,2
"451","exp_n11",0.000136920093475784,9,5
"452","exp_n11",0.000145915617202272,5,0
"453","exp_n11",0.000150253515854985,10,6
"454","exp_n11",0.000150906367665929,9,0
"455","exp_n11",0.000151175405271647,10,10
"456","exp_n11",0.000152411114381695,9,3
"457","exp_n11",0.000154326255383851,5,2
"458","exp_n11",0.000158908836915061,5,3
"459","exp_n11",0.000163431344448005,9,5
"460","exp_n11",0.000163786284681856,10,5
"461","exp_n11",0.000168138895260442,5,3
"462","exp_n11",0.000176087811811087,5,0
"463","exp_n11",0.000180330794901505,10,4
"464","exp_n11",0.000184554133890644,5,0
"465","exp_n11",0.000196204387217624,9,2
"466","exp_n11",0.000206491879584422,10,10
"467","exp_n11",0.000215823109372376,10,0
"468","exp_n11",0.000233009213229625,5,0
"469","exp_n11",0.000237785388812547,5,2
"470","exp_n11",0.00024036189665284,9,0
"471","exp_n11",0.000246925421911639,10,10
"472","exp_n11",0.00025680269333676,10,2
"473","exp_n11",0.000258748013985766,5,5
"474","exp_n11",0.000265328706298213,5,1
"475","exp_n11",0.000274851693929857,9,3
"476","exp_n11",0.000298585485326147,9,5
"477","exp_n110",0,282,10
"478","exp_n110",8.26534350270346e-05,10,7
"479","exp_n110",8.41543216256593e-05,5,5
"480","exp_n110",8.45274740772365e-05,9,9
"481","exp_n110",0.000123019644298095,5,0
"482","exp_n110",0.000124146039645079,10,3
"483","exp_n110",0.000127008754759775,9,0
"484","exp_n110",0.00012857345258468,5,2
"485","exp_n110",0.000131098854696178,9,4
"486","exp_n110",0.000139751715796088,5,0
"487","exp_n110",0.000143711745713883,10,9
"488","exp_n110",0.00014739227279973,9,4
"489","exp_n110",0.000147475290626117,10,2
