set,Dose,N,Effect
exp_n13,0.002361837,10,0
exp_n13,0.003901601,10,0
exp_n13,0.00837345,10,3
exp_n13,0.027855246,10,4
exp_n13,0.027614101,10,9
exp_n13,0.003927089,9,1
exp_n13,0.006962607,9,2
exp_n13,0.014450421,9,5
exp_n13,0.029638333,9,5
exp_n13,0.063689334,9,9
exp_n13,0.013005624,3,2
exp_n13,0.01763133,3,1
exp_n13,0.022263324,3,3
exp_n13,0.026721521,3,3
exp_n13,0.040633168,3,3
exp_n14,0,285,7
exp_n14,0.002558065,5,0
exp_n14,0.005927433,5,2
exp_n14,0.011951556,5,5
exp_n14,0.026001817,5,5
exp_n14,0.052813711,5,5
exp_n14,0.002563495,5,0
exp_n14,0.005268286,5,0
exp_n14,0.01104401,5,0
exp_n14,0.023300652,5,2
exp_n14,0.049531758,5,4
exp_n14,0.004523616,5,0
exp_n14,0.009201449,5,1
exp_n14,0.01830385,5,4
exp_n14,0.001943584,10,2
exp_n14,0.005668212,10,4
exp_n14,0.010884598,10,5
exp_n14,0.026756199,10,10
exp_n14,0.060146826,10,10
exp_n14,0.003343895,9,0
exp_n14,0.006669234,9,0
exp_n14,0.01472686,9,1
exp_n14,0.033842736,9,4
exp_n14,0.073144847,9,8
exp_n14,0.002387991,10,1
exp_n14,0.00371125,10,2
exp_n14,0.01099461,10,2
exp_n14,0.022703646,10,5
exp_n14,0.051727614,10,9
exp_n14,0.004101507,9,2
exp_n14,0.007497866,9,4
exp_n14,0.016925692,9,5
exp_n14,0.037208045,9,6
exp_n14,0.082172931,9,9
exp_n14,0.015004941,3,0
exp_n14,0.020611454,3,0
exp_n14,0.026230002,3,1
exp_n14,0.031720017,3,3
exp_n14,0.049076922,3,3
exp_n15,0,285,15
exp_n15,0.002402176,5,0
exp_n15,0.005113567,5,2
exp_n15,0.010224617,5,5
exp_n15,0.018191696,5,5
exp_n15,0.04185005,5,5
exp_n15,0.0021786,5,0
exp_n15,0.00447443,5,0
exp_n15,0.009016815,5,0
exp_n15,0.018914162,5,1
exp_n15,0.035604373,5,4
exp_n15,0.003430262,5,0
exp_n15,0.006988304,5,0
exp_n15,0.014941057,5,3
exp_n15,0.001302824,10,5
exp_n15,0.004699065,10,3
exp_n15,0.009323115,10,6
exp_n15,0.02120935,10,10
exp_n15,0.048155116,10,10
exp_n15,0.003105598,9,0
exp_n15,0.006340057,9,0
exp_n15,0.011996574,9,0
exp_n15,0.02457263,9,3
exp_n15,0.048132529,9,5
exp_n15,0.002120397,10,0
exp_n15,0.003716623,10,3
exp_n15,0.008411216,10,4
exp_n15,0.01271548,10,4
exp_n15,0.041607047,10,8
exp_n15,0.00381594,9,0
exp_n15,0.006881851,9,4
exp_n15,0.01450048,9,7
exp_n15,0.025250004,9,3
