"","Simulation","BMDSEstimates","order","Model"
"391","exp_n215.bmd",0.416207373363243,"bmds","ModelAverage"
"392","exp_n215.bmd",0.331949749120473,"bmdl","ModelAverage"
"393","exp_n215.bmd",0.547748717734314,"bmdu","ModelAverage"
"394","exp_n216.bmd",0.637903888561588,"bmds","ModelAverage"
"395","exp_n216.bmd",0.537071105827591,"bmdl","ModelAverage"
"396","exp_n216.bmd",0.698697068445794,"bmdu","ModelAverage"
"397","exp_n217.bmd",0.399561548954574,"bmds","ModelAverage"
"398","exp_n217.bmd",0.23515580042085,"bmdl","ModelAverage"
"399","exp_n217.bmd",0.507756116376804,"bmdu","ModelAverage"
"400","exp_n218.bmd",0.436833988690534,"bmds","ModelAverage"
"401","exp_n218.bmd",0.296127006573992,"bmdl","ModelAverage"
